	Crosshead,	Load,	Time,	Video,	Axial,	Traverse
	2,70820688456297,	68,5316015625,	32,5069999694824,	34,8799018859863,	0,00471905013546348,	-0,000776697997935116
	2,70986859686673,	68,54859375,	32,5270004272461,	34,997501373291,	0,00471905013546348,	-0,000800813024397939
	2,71164788864553,	68,5741328125,	32,5470008850098,	34,997501373291,	0,00471905013546348,	-0,000800813024397939
	2,71344394423068,	68,6066171875,	32,5670013427734,	34,997501373291,	0,00471905013546348,	-0,000800813024397939
	2,71520647220314,	68,63621875,	32,5870018005371,	35,0563011169434,	0,00472611980512738,	-0,000800813024397939
	2,71696876734495,	68,6546875,	32,6069984436035,	35,0563011169434,	0,00472611980512738,	-0,000800813024397939
	2,7186474762857,	68,6751953125,	32,6269989013672,	35,0563011169434,	0,00472611980512738,	-0,000800813024397939
	2,72024213336408,	68,694625,	32,6469993591309,	35,0563011169434,	0,00472611980512738,	-0,000800813024397939
	2,72183655761182,	68,70921875,	32,6669998168945,	35,1151008605957,	0,00475759990513325,	-0,000816916988696903
	2,72341445088387,	68,7271015625,	32,6870002746582,	35,1151008605957,	0,00475759990513325,	-0,000816916988696903
	2,72507616318762,	68,7455078125,	32,7070007324219,	35,1151008605957,	0,00475759990513325,	-0,000816916988696903
	2,72672111168504,	68,7694765625,	32,7270011901855,	35,173999786377,	0,00480032013729215,	-0,000809534976724535
	2,72833253256977,	68,7923046875,	32,7470016479492,	35,173999786377,	0,00480032013729215,	-0,000809534976724535
	2,72994372062385,	68,80915625,	32,7669982910156,	35,173999786377,	0,00480032013729215,	-0,000809534976724535
	2,73152161389589,	68,8249296875,	32,7869987487793,	35,173999786377,	0,00480032013729215,	-0,000809534976724535
	2,73308251053095,	68,8462421875,	32,806999206543,	35,2327003479004,	0,00481702014803886,	-0,000802750000730157
	2,73469393141568,	68,859765625,	32,8269996643066,	35,2327003479004,	0,00481702014803886,	-0,000802750000730157
	2,73633887991309,	68,8843125,	32,8470001220703,	35,2327003479004,	0,00481702014803886,	-0,000802750000730157
	2,73801758885384,	68,9110625,	32,867000579834,	35,350399017334,	0,0048157200217247,	-0,000781831971835345
	2,73971282877028,	68,9385078125,	32,8870010375977,	35,350399017334,	0,0048157200217247,	-0,000781831971835345
	2,74127395823598,	68,95440625,	32,9070014953613,	35,350399017334,	0,0048157200217247,	-0,000781831971835345
	2,7428010944277,	68,96809375,	32,9269981384277,	35,350399017334,	0,0048157200217247,	-0,000781831971835345
	2,74439598433673,	68,9828203125,	32,9469985961914,	35,4091987609863,	0,00480257999151945,	-0,000801048008725047
	2,74604093283415,	69,0097890625,	32,9669990539551,	35,4091987609863,	0,00480257999151945,	-0,000801048008725047
	2,74771917611361,	69,0331328125,	32,9869995117188,	35,4091987609863,	0,00480257999151945,	-0,000801048008725047
	2,74941464886069,	69,0586484375,	33,0069999694824,	35,4679985046387,	0,00482258014380932,	-0,00081054400652647
	2,75110988877714,	69,0829375,	33,0270004272461,	35,4679985046387,	0,00482258014380932,	-0,00081054400652647
	2,75278859771788,	69,1039140625,	33,0470008850098,	35,4679985046387,	0,00482258014380932,	-0,00081054400652647
	2,754450077191,	69,1270234375,	33,0670013427734,	35,4679985046387,	0,00482258014380932,	-0,00081054400652647
	2,75612878613174,	69,1478671875,	33,0870018005371,	35,5269012451172,	0,00487384013831615,	-0,000813481980003417
	2,7579078450799,	69,1741015625,	33,1069984436035,	35,5269012451172,	0,00487384013831615,	-0,000813481980003417
	2,75972089730203,	69,2035625,	33,1269989013672,	35,5269012451172,	0,00487384013831615,	-0,000813481980003417
	2,7614664286375,	69,228359375,	33,1469993591309,	35,5857009887695,	0,00489972019568086,	-0,00080845900811255
	2,76317866519094,	69,2507109375,	33,1669998168945,	35,5857009887695,	0,00489972019568086,	-0,00080845900811255
	2,76484014466405,	69,2730625,	33,1870002746582,	35,5857009887695,	0,00489972019568086,	-0,00080845900811255
	2,76656914502382,	69,2922734375,	33,2070007324219,	35,5857009887695,	0,00489972019568086,	-0,00080845900811255
	2,76828114874661,	69,316828125,	33,2270011901855,	35,6445007324219,	0,00488568982109427,	-0,000810138008091599
	2,76999338530004,	69,33684375,	33,2470016479492,	35,6445007324219,	0,00488568982109427,	-0,000810138008091599
	2,77175568044186,	69,3661015625,	33,2669982910156,	35,6445007324219,	0,00488568982109427,	-0,000810138008091599
	2,77346768416464,	69,386640625,	33,2869987487793,	35,7621994018555,	0,00488568982109427,	-0,000810138008091599
	2,77507933788002,	69,40346875,	33,306999206543,	35,7621994018555,	0,00488568982109427,	-0,000810138008091599
	2,77664023451507,	69,4177109375,	33,3269996643066,	35,7621994018555,	0,00488568982109427,	-0,000810138008091599
	2,77821812778711,	69,42965625,	33,3470001220703,	35,7621994018555,	0,00488568982109427,	-0,000810138008091599
	2,77987984009087,	69,450234375,	33,367000579834,	35,8209991455078,	0,00492868013679981,	-0,000814341998193413
	2,78154155239463,	69,475875,	33,3870010375977,	35,8209991455078,	0,00492868013679981,	-0,000814341998193413
	2,78320303186774,	69,4978203125,	33,4070014953613,	35,8209991455078,	0,00492868013679981,	-0,000814341998193413
	2,78486497700214,	69,5158046875,	33,4269981384277,	35,8797988891602,	0,00492868013679981,	-0,000817320018541068
	2,78649316169322,	69,53946875,	33,4469985961914,	35,8797988891602,	0,00492868013679981,	-0,000817320018541068
	2,78805429115891,	69,553515625,	33,4669990539551,	35,8797988891602,	0,00492868013679981,	-0,000817320018541068
	2,78964871540666,	69,575546875,	33,4869995117188,	35,8797988891602,	0,00492868013679981,	-0,000817320018541068
	2,79129366390407,	69,595234375,	33,5069999694824,	35,9384994506836,	0,00496015977114439,	-0,000818652973975986
	2,79300566762686,	69,62003125,	33,5270004272461,	35,9384994506836,	0,00496015977114439,	-0,000818652973975986
	2,79483525082469,	69,651046875,	33,5470008850098,	35,9384994506836,	0,00496015977114439,	-0,000818652973975986
	2,79671535827219,	69,6829296875,	33,5670013427734,	35,997501373291,	0,00495541002601385,	-0,00081059499643743
	2,79864552430809,	69,710984375,	33,5870018005371,	35,997501373291,	0,00495541002601385,	-0,00081059499643743
	2,80059268698096,	69,7488828125,	33,6069984436035,	35,997501373291,	0,00495541002601385,	-0,00081059499643743
	2,80248955823481,	69,7753828125,	33,6269989013672,	35,997501373291,	0,00495541002601385,	-0,00081059499643743
	2,80435243621469,	69,8056953125,	33,6469993591309,	36,1150016784668,	0,00494037009775639,	-0,000802165013737977
	2,80616548843682,	69,8267578125,	33,6669998168945,	36,1150016784668,	0,00494037009775639,	-0,000802165013737977
	2,80796154402196,	69,8494375,	33,6870002746582,	36,1150016784668,	0,00494037009775639,	-0,000802165013737977
	2,80962325632572,	69,865484375,	33,7070007324219,	36,1738014221191,	0,00497356010600924,	-0,000804691982921213
	2,81115062534809,	69,871515625,	33,7270011901855,	36,1738014221191,	0,00497356010600924,	-0,000804691982921213
	2,8126947581768,	69,8850234375,	33,7470016479492,	36,1738014221191,	0,00497356010600924,	-0,000804691982921213
	2,81423912383616,	69,8994765625,	33,7669982910156,	36,1738014221191,	0,00497356010600924,	-0,000804691982921213
	2,81580025330186,	69,913984375,	33,7869987487793,	36,2327003479004,	0,00502061005681753,	-0,000815687002614141
	2,81744496896863,	69,9366875,	33,806999206543,	36,2327003479004,	0,00502061005681753,	-0,000815687002614141
	2,81914044171572,	69,95875,	33,8269996643066,	36,2327003479004,	0,00502061005681753,	-0,000815687002614141
	2,82080192118883,	69,9842265625,	33,8470001220703,	36,2915000915527,	0,00505660008639097,	-0,00079471297794953
	2,8224301058799,	70,004328125,	33,867000579834,	36,2915000915527,	0,00505660008639097,	-0,00079471297794953
	2,8239912353456,	70,0178671875,	33,8870010375977,	36,2915000915527,	0,00505660008639097,	-0,00079471297794953
	2,82558589242399,	70,0349609375,	33,9070014953613,	36,2915000915527,	0,00505660008639097,	-0,00079471297794953
	2,82719731330872,	70,0565546875,	33,9269981384277,	36,3502998352051,	0,00507448986172676,	-0,000796819978859276
	2,8287919703871,	70,0740859375,	33,9469985961914,	36,3502998352051,	0,00507448986172676,	-0,000796819978859276
	2,8303696308285,	70,0925,	33,9669990539551,	36,3502998352051,	0,00507448986172676,	-0,000796819978859276
	2,83191399648786,	70,11109375,	33,9869995117188,	36,4679985046387,	0,00507084978744388,	-0,000851051998324692
	2,83344136551023,	70,12584375,	34,0069999694824,	36,4679985046387,	0,00507084978744388,	-0,000851051998324692
	2,83505278639495,	70,143984375,	34,0270004272461,	36,4679985046387,	0,00507084978744388,	-0,000851051998324692
	2,83673126250505,	70,1743046875,	34,0470008850098,	36,4679985046387,	0,00507084978744388,	-0,000851051998324692
	2,83837597817183,	70,1989921875,	34,0670013427734,	36,526798248291,	0,00507894018664956,	-0,000879276019986719
	2,84005468711257,	70,2202265625,	34,0870018005371,	36,526798248291,	0,00507894018664956,	-0,000879276019986719
	2,84174992702901,	70,244234375,	34,1069984436035,	36,526798248291,	0,00507894018664956,	-0,000879276019986719
	2,84339510835707,	70,2664609375,	34,1269989013672,	36,5856018066406,	0,0051289601251483,	-0,000826493022032082
	2,8450230602175,	70,283671875,	34,1469993591309,	36,5856018066406,	0,0051289601251483,	-0,000826493022032082
	2,84665124490857,	70,304625,	34,1669998168945,	36,5856018066406,	0,0051289601251483,	-0,000826493022032082
	2,84832972101867,	70,326671875,	34,1870002746582,	36,5856018066406,	0,0051289601251483,	-0,000826493022032082
	2,8500584885478,	70,3548984375,	34,2070007324219,	36,6445007324219,	0,00515190977603197,	-0,000825200986582786
	2,85177072510123,	70,3800078125,	34,2270011901855,	36,6445007324219,	0,00515190977603197,	-0,000825200986582786
	2,85348272882402,	70,4027265625,	34,2470016479492,	36,6445007324219,	0,00515190977603197,	-0,000825200986582786
	2,85517820157111,	70,427796875,	34,2669982910156,	36,7032012939453,	0,00516280997544527,	-0,000824994000140578
	2,85678962245584,	70,4460546875,	34,2869987487793,	36,7032012939453,	0,00516280997544527,	-0,000824994000140578
	2,85840081050992,	70,4615,	34,306999206543,	36,7032012939453,	0,00516280997544527,	-0,000824994000140578
	2,85997870378196,	70,48259375,	34,3269996643066,	36,7032012939453,	0,00516280997544527,	-0,000824994000140578
	2,86159012466669,	70,5025703125,	34,3470001220703,	36,8208999633789,	0,00513804983347654,	-0,000821825000457466
	2,86330212838948,	70,5244609375,	34,367000579834,	36,8208999633789,	0,00513804983347654,	-0,000821825000457466
	2,86498060449958,	70,5511484375,	34,3870010375977,	36,8208999633789,	0,00513804983347654,	-0,000821825000457466
	2,86655849777162,	70,5675078125,	34,4070014953613,	36,8796997070313,	0,00514151016250253,	-0,000849250995088369
	2,86815315485001,	70,585390625,	34,4269981384277,	36,8796997070313,	0,00514151016250253,	-0,000849250995088369
	2,86974757909775,	70,60603125,	34,4469985961914,	36,8796997070313,	0,00514151016250253,	-0,000849250995088369
	2,87132547236979,	70,62175,	34,4669990539551,	36,8796997070313,	0,00514151016250253,	-0,000849250995088369
	2,87293689325452,	70,6463203125,	34,4869995117188,	36,9385986328125,	0,00518216006457806,	-0,000861875014379621
	2,87456507794559,	70,6673203125,	34,5069999694824,	36,9385986328125,	0,00518216006457806,	-0,000861875014379621
	2,8762265574187,	70,6860078125,	34,5270004272461,	36,9385986328125,	0,00518216006457806,	-0,000861875014379621
	2,87782144732773,	70,708640625,	34,5470008850098,	36,9972991943359,	0,00523704010993242,	-0,000836817023809999
	2,87936558015645,	70,7283359375,	34,5670013427734,	36,9972991943359,	0,00523704010993242,	-0,000836817023809999
	2,88094324059784,	70,742578125,	34,5870018005371,	36,9972991943359,	0,00523704010993242,	-0,000836817023809999
	2,8825884219259,	70,76565625,	34,6069984436035,	36,9972991943359,	0,00523704010993242,	-0,000836817023809999
	2,884266898036,	70,793828125,	34,6269989013672,	37,0561981201172,	0,00524713005870581,	-0,000835356011521071
	2,88596213795245,	70,8181328125,	34,6469993591309,	37,0561981201172,	0,00524713005870581,	-0,000835356011521071
	2,88767437450588,	70,845609375,	34,6669998168945,	37,0561981201172,	0,00524713005870581,	-0,000835356011521071
	2,88936938159168,	70,86965625,	34,6870002746582,	37,1150016784668,	0,00522440019994974,	-0,000844526977743953
	2,89108161814511,	70,8926015625,	34,7070007324219,	37,1150016784668,	0,00522440019994974,	-0,000844526977743953
	2,89277685806155,	70,914390625,	34,7270011901855,	37,1150016784668,	0,00522440019994974,	-0,000844526977743953
	2,89450562559068,	70,936640625,	34,7470016479492,	37,1150016784668,	0,00522440019994974,	-0,000844526977743953
