	Crosshead,	Load,	Time,	Video,	Axial,	Traverse
	3,03120445460081,	72,640578125,	36,3870010375977,	38,8207015991211,	0,00569794001057744,	-0,00085042102728039
	3,0330172739923,	72,6657421875,	36,4070014953613,	38,8207015991211,	0,00569794001057744,	-0,00085042102728039
	3,0348130967468,	72,69646875,	36,4269981384277,	38,8207015991211,	0,00569794001057744,	-0,00085042102728039
	3,03657585754991,	72,7214765625,	36,4469985961914,	38,8795013427734,	0,00569358980283141,	-0,000865146983414888
	3,03828786127269,	72,7398515625,	36,4669990539551,	38,8795013427734,	0,00569358980283141,	-0,000865146983414888
	3,03998310118914,	72,758453125,	36,4869995117188,	38,8795013427734,	0,00569358980283141,	-0,000865146983414888
	3,04171210154891,	72,7813359375,	36,5069999694824,	38,9383010864258,	0,00570002011954784,	-0,000865721027366817
	3,04345763288438,	72,8003671875,	36,5270004272461,	38,9383010864258,	0,00570002011954784,	-0,000865721027366817
	3,04516986943781,	72,8216015625,	36,5470008850098,	38,9383010864258,	0,00570002011954784,	-0,000865721027366817
	3,04691540077329,	72,845671875,	36,5670013427734,	38,9383010864258,	0,00570002011954784,	-0,000865721027366817
	3,04861064068973,	72,865296875,	36,5870018005371,	39,0559997558594,	0,00571419997140765,	-0,000865721027366817
